"coinPosition [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
19,1.58489319246111,50.0192473005429
19,1.77827941003892,50.0200670417158
19,1.99526231496888,50.0209586282714
19,2.23872113856834,50.0219127960249
19,2.51188643150958,50.0229199875225
19,2.81838293126445,50.0239728445655
19,3.16227766016838,50.0250689224541
19,3.54813389233575,50.0262132305522
19,3.98107170553497,50.0274203303399
19,4.46683592150963,50.02871593967
19,5.01187233627272,50.0301382062634
19,5.62341325190349,50.0317389523463
19,6.30957344480193,50.0335852353573
19,7.07945784384138,50.0357615414003
19,7.94328234724282,50.0383728694263
19,8.91250938133745,50.0415489078216
19,10,50.0454494655553
20,1,50.0167779338952
20,1.12201845430196,50.0172731734926
20,1.25892541179417,50.0178483596108
20,1.41253754462275,50.0185064768354
20,1.58489319246111,50.0192473005429
20,1.77827941003892,50.0200670417158
20,1.99526231496888,50.0209586282714
20,2.23872113856834,50.0219127960249
20,2.51188643150958,50.0229199875225
20,2.81838293126445,50.0239728445655
20,3.16227766016838,50.0250689224541
20,3.54813389233575,50.0262132305522
20,3.98107170553497,50.0274203303399
20,4.46683592150963,50.02871593967
20,5.01187233627272,50.0301382062634
20,5.62341325190349,50.0317389523463
20,6.30957344480193,50.0335852353573
20,7.07945784384138,50.0357615414003
20,7.94328234724282,50.0383728694263
20,8.91250938133745,50.0415489078216
20,10,50.0454494655553
21,1,50.0167779338952
21,1.12201845430196,50.0172731734926
21,1.25892541179417,50.0178483596108
21,1.41253754462275,50.0185064768354
21,1.58489319246111,50.0192473005429
21,1.77827941003892,50.0200670417158
21,1.99526231496888,50.0209586282714
21,2.23872113856834,50.0219127960249
21,2.51188643150958,50.0229199875225
21,2.81838293126445,50.0239728445655
21,3.16227766016838,50.0250689224541
21,3.54813389233575,50.0262132305522
21,3.98107170553497,50.0274203303399
21,4.46683592150963,50.02871593967
21,5.01187233627272,50.0301382062634
21,5.62341325190349,50.0317389523463
21,6.30957344480193,50.0335852353573
21,7.07945784384138,50.0357615414003
21,7.94328234724282,50.0383728694263
21,8.91250938133745,50.0415489078216
21,10,50.0454494655553
22,1,50.0167779338952
22,1.12201845430196,50.0172731734926
22,1.25892541179417,50.0178483596108
22,1.41253754462275,50.0185064768354
22,1.58489319246111,50.0192473005429
22,1.77827941003892,50.0200670417158
22,1.99526231496888,50.0209586282714
22,2.23872113856834,50.0219127960249
22,2.51188643150958,50.0229199875225
22,2.81838293126445,50.0239728445655
22,3.16227766016838,50.0250689224541
22,3.54813389233575,50.0262132305522
22,3.98107170553497,50.0274203303399
22,4.46683592150963,50.02871593967
22,5.01187233627272,50.0301382062634
22,5.62341325190349,50.0317389523463
22,6.30957344480193,50.0335852353573
22,7.07945784384138,50.0357615414003
22,7.94328234724282,50.0383728694263
22,8.91250938133745,50.0415489078216
22,10,50.0454494655553
23,1,50.0167779338952
23,1.12201845430196,50.0172731734926
23,1.25892541179417,50.0178483596108
23,1.41253754462275,50.0185064768354
23,1.58489319246111,50.0192473005429
23,1.77827941003892,50.0200670417158
23,1.99526231496888,50.0209586282714
23,2.23872113856834,50.0219127960249
23,2.51188643150958,50.0229199875225
23,2.81838293126445,50.0239728445655
23,3.16227766016838,50.0250689224541
23,3.54813389233575,50.0262132305522
23,3.98107170553497,50.0274203303399
23,4.46683592150963,50.02871593967
23,5.01187233627272,50.0301382062634
23,5.62341325190349,50.0317389523463
23,6.30957344480193,50.0335852353573
23,7.07945784384138,50.0357615414003
23,7.94328234724282,50.0383728694263
23,8.91250938133745,50.0415489078216
23,10,50.0454494655553
24,1,50.0167779338952
24,1.12201845430196,50.0172731734926
24,1.25892541179417,50.0178483596108
24,1.41253754462275,50.0185064768354
24,1.58489319246111,50.0192473005429
24,1.77827941003892,50.0200670417158
24,1.99526231496888,50.0209586282714
24,2.23872113856834,50.0219127960249
24,2.51188643150958,50.0229199875225
24,2.81838293126445,50.0239728445655
24,3.16227766016838,50.0250689224541
24,3.54813389233575,50.0262132305522
24,3.98107170553497,50.0274203303399
24,4.46683592150963,50.02871593967
24,5.01187233627272,50.0301382062634
24,5.62341325190349,50.0317389523463
24,6.30957344480193,50.0335852353573
24,7.07945784384138,50.0357615414003
24,7.94328234724282,50.0383728694263
24,8.91250938133745,50.0415489078216
24,10,50.0454494655553
